"station_id","stationname","date","daytype","rides"
40890,"O'Hare Airport","03/03/2018","A",8166
40890,"O'Hare Airport","02/25/2018","U",8639
40350,"UIC-Halsted","03/29/2018","W",3085
41300,"Loyola","01/25/2018","W",5406
40350,"UIC-Halsted","01/15/2018","W",2004
40350,"UIC-Halsted","03/22/2018","W",7000
41300,"Loyola","03/25/2018","U",3181
40350,"UIC-Halsted","01/13/2018","A",1361
40890,"O'Hare Airport","02/07/2018","W",8148
40890,"O'Hare Airport","03/23/2018","W",11488
40350,"UIC-Halsted","01/30/2018","W",7324
40890,"O'Hare Airport","01/05/2018","W",8561
40890,"O'Hare Airport","01/19/2018","W",8293
41300,"Loyola","01/06/2018","A",2145
40890,"O'Hare Airport","02/24/2018","A",7458
41300,"Loyola","03/15/2018","W",5830
41300,"Loyola","03/10/2018","A",3397
41300,"Loyola","03/22/2018","W",5513
41300,"Loyola","02/10/2018","A",3894
40350,"UIC-Halsted","02/07/2018","W",7438
41300,"Loyola","01/10/2018","W",3903
41300,"Loyola","03/01/2018","W",5435
40890,"O'Hare Airport","03/02/2018","W",10498
40350,"UIC-Halsted","01/16/2018","W",7476
40350,"UIC-Halsted","02/15/2018","W",7412
40890,"O'Hare Airport","03/19/2018","W",10574
41300,"Loyola","02/06/2018","W",5187
40890,"O'Hare Airport","01/30/2018","W",8433
40890,"O'Hare Airport","03/06/2018","W",9429
41300,"Loyola","03/02/2018","W",5607
41300,"Loyola","02/26/2018","W",5179
40890,"O'Hare Airport","03/14/2018","W",9997
40350,"UIC-Halsted","03/21/2018","W",7270
40350,"UIC-Halsted","01/07/2018","U",763
40890,"O'Hare Airport","01/06/2018","A",6790
40890,"O'Hare Airport","03/12/2018","W",10582
41300,"Loyola","01/18/2018","W",5325
41300,"Loyola","02/11/2018","U",2691
40350,"UIC-Halsted","03/05/2018","W",7054
41300,"Loyola","02/19/2018","W",4493
40350,"UIC-Halsted","03/03/2018","A",1978
40350,"UIC-Halsted","03/31/2018","A",1399
40350,"UIC-Halsted","02/01/2018","W",7382
40890,"O'Hare Airport","02/27/2018","W",9074
40890,"O'Hare Airport","02/08/2018","W",10129
40350,"UIC-Halsted","01/21/2018","U",1293
40350,"UIC-Halsted","02/22/2018","W",7328
40890,"O'Hare Airport","01/28/2018","U",8122
41300,"Loyola","01/09/2018","W",3852
41300,"Loyola","01/29/2018","W",5309
40890,"O'Hare Airport","02/19/2018","W",10325
40890,"O'Hare Airport","03/31/2018","A",7233
40890,"O'Hare Airport","02/03/2018","A",6994
40890,"O'Hare Airport","03/30/2018","W",10297
40890,"O'Hare Airport","03/13/2018","W",9166
40350,"UIC-Halsted","02/14/2018","W",7881
40890,"O'Hare Airport","01/15/2018","W",7684
40350,"UIC-Halsted","03/15/2018","W",7326
41300,"Loyola","01/19/2018","W",5846
41300,"Loyola","03/24/2018","A",4350
40350,"UIC-Halsted","03/14/2018","W",7550
40890,"O'Hare Airport","03/08/2018","W",10088
41300,"Loyola","02/08/2018","W",5438
40890,"O'Hare Airport","03/27/2018","W",10602
40350,"UIC-Halsted","02/26/2018","W",7193
40890,"O'Hare Airport","01/02/2018","W",9835
41300,"Loyola","03/16/2018","W",6169
40350,"UIC-Halsted","01/26/2018","W",7355
40890,"O'Hare Airport","03/29/2018","W",11930
41300,"Loyola","02/05/2018","W",4922
40350,"UIC-Halsted","01/23/2018","W",7508
40350,"UIC-Halsted","02/25/2018","U",1468
40350,"UIC-Halsted","02/12/2018","W",7328
40890,"O'Hare Airport","01/03/2018","W",9038
40890,"O'Hare Airport","02/28/2018","W",8708
40890,"O'Hare Airport","02/06/2018","W",8795
40890,"O'Hare Airport","03/20/2018","W",9823
40350,"UIC-Halsted","02/10/2018","A",1861
41300,"Loyola","02/22/2018","W",5475
41300,"Loyola","01/05/2018","W",3248
40350,"UIC-Halsted","03/02/2018","W",6799
40890,"O'Hare Airport","02/21/2018","W",9632
40890,"O'Hare Airport","02/01/2018","W",8914
40890,"O'Hare Airport","03/10/2018","A",8328
41300,"Loyola","02/12/2018","W",5239
40890,"O'Hare Airport","03/26/2018","W",11056
40890,"O'Hare Airport","01/27/2018","A",7234
40890,"O'Hare Airport","03/17/2018","A",8859
